TeamId,TeamNumber,Max_Driver_Skill,Max_Programming_Skill,Total_Awards,count_champion,count_finalists,count_excellence,count_skillChampion
155679,38T,131,107,4,2,0,1,0
51094,80Y,219,170,7,2,1,1,2
133057,293T,143,143,4,0,0,1,1
111779,355T,100,85,1,0,0,0,0
114797,462Z,148,139,12,2,2,2,1
130546,663S,160,129,13,5,0,1,2
148436,936D,N/A,N/A,1,1,0,0,0
40102,1028J,147,110,5,1,2,0,1
77488,1100A,142,152,3,0,0,1,1
161210,1247D,100,87,2,0,1,0,0
52930,1338B,117,100,6,2,1,1,0
19591,1481H,164,124,2,0,0,1,1
153484,1806A,124,101,3,0,1,0,0
143736,1920D,84,83,2,1,0,0,0
81062,2036A,70,29,3,3,0,0,0
164125,2252V,148,97,3,0,2,1,0
148531,2668A,142,107,6,0,2,1,2
72761,2915E,155,138,3,1,0,1,1
156356,3221K,198,129,2,0,0,1,0
154660,3333T,114,87,2,0,0,2,0
23632,3590A,149,76,3,1,0,0,0
164043,4205J,104,65,1,0,0,1,0
73163,4610K,140,113,2,0,0,1,1
110193,4613S,71,85,0,0,0,0,0
38353,5233J,83,46,9,4,0,0,0
49064,6356D,158,109,6,3,0,1,1
149548,7368M,151,126,3,1,0,0,0
112381,7481B,77,50,5,0,1,0,0
142585,7700H,182,145,2,0,0,0,1
142050,7830N,141,94,5,1,0,1,0
157111,7899C,133,80,2,2,0,0,0
39760,8193D,196,165,2,0,1,0,0
55589,8838A,164,107,2,0,0,1,1
125701,9039K,84,77,3,2,0,0,0
112709,9181G,185,151,2,0,1,0,0
52942,9447A,164,118,5,1,1,2,0
54496,9791B,102,84,3,0,0,1,0
112613,10012Y,193,177,7,0,1,0,2
73561,10173X,107,89,0,0,0,0,0
139869,12161A,97,0,3,0,0,0,0
153705,13140A,176,180,2,1,0,0,0
159600,13765K,138,100,4,1,1,0,0
154964,16689E,154,106,2,0,1,1,0
157806,17760R,99,0,1,0,0,1,0
154415,18422A,157,133,6,4,0,0,1
140222,19085B,92,73,0,0,0,0,0
114946,19991A,65,87,2,1,0,0,0
163595,23599S,106,74,2,0,1,0,0
151909,24658J,184,151,9,2,1,0,3
135199,26003A,138,99,8,1,2,1,0
148574,28006B,163,149,5,2,0,0,2
165864,31392B,125,102,5,2,1,0,0
111440,33249C,108,85,2,1,0,1,0
155538,35931S,148,102,0,0,0,0,0
118728,37816D,136,130,2,0,1,0,0
154284,39792E,116,118,3,1,0,0,1
139121,45133K,160,108,0,0,0,0,0
138841,50878X,140,133,3,0,1,1,0
102422,54001B,199,183,4,1,0,0,0
72046,56772A,140,128,4,1,0,3,0
155529,57783A,90,91,1,0,0,0,0
122766,62880B,122,131,5,2,2,1,0
143905,66465F,157,132,13,2,1,3,3
114710,69414Z,164,132,11,5,0,2,4
143864,70699B,82,66,0,0,0,0,0
158825,72801P,114,94,3,1,0,1,1
150380,74074C,155,122,6,0,0,0,1
156380,75013C,62,0,0,0,0,0,0
126262,76151M,38,5,0,0,0,0,0
139812,77701A,149,136,7,3,0,0,0
130100,78759D,143,113,7,3,1,1,0
135518,79298C,189,146,5,1,0,2,1
160880,80550M,152,97,0,0,0,0,0
88984,82391A,136,109,5,0,0,0,1
130955,87867E,180,131,8,3,2,2,1
165749,89676P,131,87,1,0,0,0,1
96551,95070A,151,150,2,0,0,2,0
73990,97311F,146,99,2,0,0,0,0
163968,98548N,136,78,0,0,0,0,0
102975,99157B,132,116,6,1,0,0,1
143660,99750Z,122,111,6,2,0,2,0